82621116,1866.00
32601124,1866.00
110581186,2113.00
140521117,1869.00
45411183,1866.00
101231153,2483.00
109941196,1866.00
58001170,4116.00
130901148,2483.00
143191132,8269.00
81381138,2483.00
92411169,3716.00
1861111,2483.00
30521190,2483.00
101791156,2483.00
29141150,5588.00
7212117,3100.00
28831146,3716.00
89881126,3716.00
97541160,2483.00
4651125,3223.00
30551144,2483.00
88071128,2116.00
11751183,2883.00
22361158,4210.00
27671153,5588.00
73491112,2483.00
78701131,3716.00
110061154,1866.00
123111168,6183.00
66951197,2483.00
143741161,4953.00
34701189,3716.00
10086111,2483.00
118391155,2491.00
129091132,1866.00
72991184,3100.00
92051161,2483.00
93071121,3100.00
96591125,3716.00
109301111,1866.00
80581153,3716.00
33391146,2483.00
29981176,2483.00
100561141,1866.00
103181168,1866.00
19821141,2483.00
42591172,5566.00
98591171,1866.00
11305119,1866.00
116161117,2236.00
7465115,1869.00
134411162,2494.00
20751171,12341.00
2921182,2483.00
93761140,3716.00
10185117,2066.00
4386114,6183.00
124961137,2483.00
122051194,2483.00
35851122,1816.00
7555119,2853.00
1144119,3716.00
8331126,4333.00
65701148,3100.00
132581157,2483.00
132291117,5794.00
136501113,4219.00
5281114,3716.00
106851125,1866.00
114611178,5196.00
69361169,2483.00
118671178,2483.00
5915113,4333.00
77741176,3646.00
73971173,1866.00
118961121,14998.00
37391141,5144.00
137741145,2486.00
25731155,2483.00
80381115,1866.00
87991116,1866.00
48711115,3716.00
112211153,3716.00
11001159,2853.00
241134,8941.00
7721162,14493.00
50521115,3100.00
76541115,1866.00
86991190,6183.00
96141158,19206.00
125861141,2483.00
89801184,6183.00
52181187,1869.00
47211191,3716.00
68351129,1866.00
9221113,3716.00
75081162,1928.00
941170,2483.00
114741151,1866.00
